,concepts,definitions,source
64,NDICE AGREGATIVO, Es aquel que expresa la variación de un conjunto de artículos agregados.,book4
65,NDICE DE PRECIOS DE LASPEYRES," Describe la variación de precios de una canasta de bienes y servicios elegidos en un año base, que permanece inalterable durante los períodos sucesivos",book4
66,NDICE DE PRECIOS DE PAASCHE, Es un número que describe la relación exitente entre el precio actual de un grupo de bienes y servicios y el precio de dichos bienes y servicios en el año base.,book4
67,NDICE IDEAL DE FISHER," Es un índice de precios que se obtiene como la media geométrica de los números índices de Laspeyres y de Paasche.  El índice ideal de Fisher satisface los criterios de inversión temporal y de inversión de factores, lo que le confiere una cierta ventaja teórica sobre otros números índice.",book4
68,NDICE DE CARLI,Es un índice agregado simple.,book4
69,NDICE DE MASCULINIDAD,"Es un número que relaciona el número de hombres por cada 100 mujeres, expresado como porcentaje.",book4
70,INTERVALO DE CLASE, Es el conjunto de datos cuantitativos comprendido entre dos valores.  Generalmente se ubican en la primera columna en una tabla de distribución de frecuencias.,book4
71,INTERVALO DE CONFIANZA," Conocido también como límites de confianza.   Es un rango de valores en el cual se encontraría el valor del parámetro, con una probabilidad determinada.",book4
72,MITE INFERIOR, Es el menor valor de un intervalo de clase.  LÍ,book4
73,MITE SUPERIOR," Es el mayor valor de un intervalo de clase.  
M ",book4
74,MARCA DE CLASE, Es la denominación que se le da al punto medio de un intervalo  en una tabla de frecuencias de datos agrupados.,book4
75,MARCO MUESTRAL, Es la totalidad de unidades de muestreo de la que se selecciona una muestra.,book4
76,MEDIANA,Es unamedida de tendencia central.,book4
77,MEDIDAS DE FORMA, Permiten conocer que forma tiene la curva que representa la serie de datos.,book4
78,MODA," Es una medida de tendencia central es el valor de la variable que tiene mayor frecuencia absoluta, la que más se repite es la única medida de centralización que tiene sentido estudiar en una variable cualitativa, pues no precisa la realización de ningún cálculo.",book4
79,MUESTRA," Es un subconjunto representantivo de la población a partir del cual se pretende realizar inferencias respecto a la población de donde procede.   Los elementos seleccionados con cierta técnica reúne ciertas características que la hacen ser representativa, significativa y confiable y que en base a ella se pueden hacer inferencias respecto a la población.",book4
80,MUESTREO, Es un conjunto de métodos y procedimientos estadísticos destinados a la selección de una o mas muestras  es la técnica seguida para elegir muestras.   El objetivo principal de un diseño de muestreo es proporcionar procedimientos para la selección de muestras que sean representativas  de la población en estudio.,book4
81,MUESTREO ALETORIO SIMPLE, También llamado irrestrictamente aleatorio.,book4
82,MUESTREO ESTRATIFICADO ALEATORIO," Es un método de muestreo que se aplica cuando se divide la población en grupos, llamados estratos, donde los datos son más homogéneos pero un estrato frente al otro  muy distintos.   Para extraer la muestra aleatoria se aplica el muestreo aleatorio simple a cada estrato y el tamaño es la suma de los tamaños de todos los estratos.",book4
83,MUESTREO POR CONGLOMERADOS, Es un método de muestreo en el cual la población está en grupos debido a la organización administrativa u otro (conglomerados).,book4
84,OJIVA,Es un gráfico acumulativo de frecuencias o frecuencias relativas.  Existen  las ojivas mayor que y menor que.,book4
85,PERMUTACIONES, Son las distintas disposiciones de los elementos en que se pueden ordenar los objetos.,book4
86,PERCENTIL, Es el valor que resulta de dividir el conjunto de datos en 100 partes iguales.  Cada parte representa al 1% del total,book4
87,PERIODO DE REFERENCIA DE UNA ENCUESTA, Es el lapso o espacio de tiempo durante el cual se levanta la información de la encuesta y la referencia cronológica respecto a la cual es válida la información inherente a ella.  ,book4
88,PICTOGRAMAS,"Son gráficos vistosos, similares a los gráficos de barras, pero empleando un dibujo alusivo al tema que representa, en una determinada escala para expresar la unidad de medida de los datos.",book4
89,PROBABILIDAD, Es un número que se le asigna a un suceso como una medida de su incertidumbre.,book4
90,PROMEDIO PONDERADO, Es un número conocido también como media aritmética ponderada.,book4
91,PUNTO MUESTRAL, El conjunto de todos los resultados posibles de un experimento aleatorio se le denomina espacio muestral.  Un punto de este conjunto es un punto muestral.,book4
92,QUINTIL, Es un fractil se obtienen dividiendo al conjunto de datos en cinco partes iguales cada parte representa el 20% del total.  Se pueden calcular 4 quintiles.,book4
93,RANGO," Conocido también como recorrido, es un número que mide la amplitud de los valores de un conjunto de datos y se calcula por diferencia entre el valor mayor  y el valor menor.   Lo notaremos comoR.",book4
94,REDONDEO,Es el procedimiento para expresar un número de acuerdo a una precisión establecida.,book4
95,SERIES TEMPORALES, Conocida también como serie cronológica.  Es la sucesión de observaciones cuantitativas ordenadas en el tiempo de un fenómeno.,book4
96,SESGO, Se denomina así a la asimetría que presenta una distribución de frecuencias.  Puede ser sesgo negativo o a la izquierda y sesgo positivo o a la derecha.,book4
97,SUCESO CIERTO, Se conoce también como suceso seguro.   Es aquel suceso que siempre se realiza.,book4
98,SUCESO IMPOSIBLE, Es aquel suceso que no se realiza nunca.   Se designa por un Ø.,book4
99,SUCESOS COMPUESTOS,"Se llama sucesos compuestos, a los sucesos formados por dos o más puntos muestrales; es decir, por más de un resultado del experimento.  ",book4
100,SUCESOS CONTRARIOS," Dado un suceso cualquiera A del espacio de sucesos S, se llama suceso contrario del suceso A a un suceso que se realiza cuando no se realiza A, y recíprocamente.",book4
101,SUCESOS ELEMENTALES," Conocido también como sucesos aleatorios,  son los sucesos formados por un solo punto muestral; es decir, por un solo resultado del experimento aleatorio.  ",book4
102,TABLA DE CONTINGENCIA, Es una tabla de doble entrada.   Se representa genéricamente como  (x i ; y j ; n ij ).,book4
103,TABLA DE DATOS AGRUPADOS," Es un arreglo matricial  que contiene el número de veces (frecuencia) que aparece un dato, de acuerdo a las clases de interés especificadas (puede ser intervalos).  (Ver distribución unidimensional) ",book4
104,TASA," Es la relación del número de casos, frecuencias o eventos de una categoría entre el número total de observaciones, multiplicada por un múltiplo de 10, generalmente 100 ó 1000",book4
105,TASA BRUTA DE MORTALIDAD," Es un número que expresa la frecuencia de muertes en una población en un período de tiempo, por lo general un año calendario.",book4
106,TASA DE MASCULINIDAD, Es un número que expresa la proporción de varones en la población total o en una parte de ella.,book4
107,TASA DE MORTALIDAD INFANTIL," Es un número que expresa la mortalidad de niños menores de un año y se obtiene dividiendo las defunciones infantiles (menores de un año) ocurridas en un año calendario entre el número de nacidos vivos ocurridos en el transcurso del mismo año, multiplicado por mil.",book4
108,UNIDAD DE MUESTREO, Es la unidad estadística que se selecciona para constituir la muestra.,book4
109,VARIABLE, Es una característica de la población o de la muestra cuya medida puede cambiar de valor.   Se representa simbólicamente mediante las letras del alfabeto.,book4
110,VARIABLE ALEATORIA,Conocida también como variable estocástica o  probabilística.  Es la característica considerada en un experimento aleatorio cuyo valor de ocurrencia sólo puede saberse con exactitud una vez observado.,book4
111,VARIABLE BIDIMENSIONAL, Es aquella que proporciona información sobre dos características de la población.,book4
112,VARIABLE CONTINUA," Es una variable cuantitativa.   Es la característica de la población, cuyos valores están representados mediante el conjunto de los números reales.",book4
113,VARIABLE CUALITATIVA," Es aquella que representa cualidades, atributos o características no numéricas y estas pueden ser nominales y ordinales.  (Ver dato cualitativo).",book4
114,VARIABLE CUANTITATIVA,Es aquella característica de la población o de la muestra que es posible representar numéricamente.   Éstas pueden ser continua y discreta.,book4
115,VARIABLE DISCRETA, Es una variable cuantitativa.,book4
116,VARIABLE NOMINAL,Es una variable cualitativa la cual sólo permite asignar nombres a los datos y no implica ningún orden.  Ej.,book4
117,VARIABLE ORDINAL, Es una variable cualitativa cuyos valores solamente pueden ser ordenados con algún criterio.  ,book4
118,VARIABLE PLURIDIMENSIONAL, Es aquella que proporciona información sobre tres o más características.,book4
119,VARIABLE UNIDIMENSIONAL, Es aquella que proporciona información sobre una sola característica.,book4
120,VARIACIONES IRREGULARES, Conocido como variación de aleatoriedad.,book4
121,VARIANZA," Conocida también como variancia, es una medida de dispersión de la información.",book4
